Diem,KhoiThi
14.45,KhoiA1
16,KhoiD
13.95,KhoiA
15,KhoiA1
17.7,KhoiD
21.3,KhoiD
10.3,KhoiD
16.05,KhoiD
12.8,KhoiA
15.1,KhoiD
13.5,KhoiA1
12.7,KhoiA
16.6,KhoiA1
13.05,KhoiA1
10.8,KhoiA1
17.35,KhoiD
8.8,KhoiD
12.4,KhoiD
13.7,KhoiD
13.1,KhoiA
14.45,KhoiD
17.35,KhoiA
17.9,KhoiA
13.15,KhoiD
9.5,KhoiD
12.3,KhoiA1
16.15,KhoiD
15.2,KhoiD
12.25,KhoiD
15.05,KhoiD
12.45,KhoiD
17.95,KhoiD
14.75,KhoiD
13.6,KhoiD
13.95,KhoiD
11.05,KhoiA1
15.3,KhoiD
12.7,KhoiA
11.1,KhoiA1
11.75,KhoiD
21.55,KhoiA
13.5,KhoiD
11.55,KhoiD
15.35,KhoiD
11.85,KhoiD
14.45,KhoiD
15.5,KhoiD
19.25,KhoiD
12,KhoiD
16.4,KhoiA1
10.4,KhoiD
9.75,KhoiD
11.3,KhoiD
17,KhoiA
12.05,KhoiD
16.4,KhoiD
13.25,KhoiD
14.6,KhoiD
14.95,KhoiD
18.6,KhoiD
14.75,KhoiD
15.95,KhoiD
23.7,KhoiA
13.3,KhoiD
13,KhoiA1
10.2,KhoiD
15.5,KhoiA
19.8,KhoiA1
25.3,KhoiD
14.3,KhoiD
13.85,KhoiA1
12.65,KhoiD
10.7,KhoiD
18.7,KhoiA1
12.45,KhoiD
12.05,KhoiD
15.15,KhoiD
16.55,KhoiA1
13.9,KhoiD
13.85,KhoiD
10.3,KhoiD
9.95,KhoiA1
15.75,KhoiA
11.6,KhoiD
11.6,KhoiD
15.75,KhoiA1
10.45,KhoiA
19.7,KhoiD
20.9,KhoiD
13.25,KhoiD
17.05,KhoiA1
21.8,KhoiA
15.1,KhoiD
11.1,KhoiD
19.75,KhoiA1
17.1,KhoiA
19.1,KhoiA
17.85,KhoiA
9.6,KhoiD
16.25,KhoiD
13,KhoiD
14.45,KhoiD
14.6,KhoiA1
16.45,KhoiD
18.8,KhoiA1
15.6,KhoiD
11.2,KhoiD
12.95,KhoiD
19.1,KhoiD
16.3,KhoiD
20.55,KhoiD
16.7,KhoiA
13.25,KhoiA1
10.6,KhoiA1
16.4,KhoiA
12.2,KhoiD
13.1,KhoiD
12.6,KhoiD
17.25,KhoiD
15.6,KhoiA
17.15,KhoiA1
13.9,KhoiD
9.5,KhoiD
10.5,KhoiD
15.85,KhoiA
12.35,KhoiD
16,KhoiD
12.55,KhoiD
18.05,KhoiA1
16.9,KhoiA
17.6,KhoiA
15.95,KhoiA
25.45,KhoiA
17.4,KhoiA
