AQI index,Dominent pollutant,PM10,PM2.5,,,,,,,,
6,pm25,4,6,,,,,,,,
38,pm25,25,38,,,,,,,,
118,pm25,85,118,,,,,,,,
84,pm25,58,84,,,,,,,,
100,pm25,61,100,,,,,,,,
86,pm25,69,86,,,,,,,,
111,pm25,80,111,,,,,,,,
86,pm25,73,86,,,,,,,,
115,pm25,76,115,,,,,,,,
96,pm25,58,96,,,,,,,,
109,pm10,109,47,,,,,,,,
24,pm25,20,24,,,,,,,,
13,pm10,13,6,,,,,,,,
1,pm25,1,1,,,,,,,,
30,pm25,10,30,,,,,,,,
35,pm25,19,35,,,,,,,,
31,pm25,21,31,,,,,,,,
116,pm25,76,116,,,,,,,,
97,pm25,59,97,,,,,,,,
121,pm25,87,121,,,,,,,,
131,pm25,81,131,,,,,,,,
135,pm25,82,135,,,,,,,,
122,pm25,66,122,,,,,,,,
9,pm10,9,6,,,,,,,,
58,pm25,44,58,,,,,,,,
45,pm10,45,35,,,,,,,,
1,pm25,1,1,,,,,,,,
47,pm25,7,47,,,,,,,,
35,pm25,21,35,,,,,,,,
28,pm25,21,28,,,,,,,,
69,pm25,49,69,,,,,,,,
88,pm25,68,88,,,,,,,,
65,pm25,45,65,,,,,,,,
70,pm25,56,70,,,,,,,,
82,pm25,57,82,,,,,,,,
91,pm25,71,91,,,,,,,,
62,pm25,47,62,,,,,,,,
86,pm25,68,86,,,,,,,,
70,pm25,54,70,,,,,,,,
104,pm25,60,104,,,,,,,,
30,pm10,30,32,,,,,,,,
1,pm25,1,1,,,,,,,,
29,pm25,7,29,,,,,,,,
24,pm25,13,24,,,,,,,,
22,pm25,15,22,,,,,,,,
55,pm25,39,55,,,,,,,,
57,pm25,52,57,,,,,,,,
52,pm25,37,52,,,,,,,,
91,pm25,57,91,,,,,,,,
66,pm25,56,66,,,,,,,,
97,pm25,67,97,,,,,,,,
40,pm25,31,40,,,,,,,,
105,pm25,73,105,,,,,,,,
91,pm25,59,91,,,,,,,,
150,pm10,150,87,,,,,,,,
14,pm10,14,11,,,,,,,,
1,pm25,1,1,,,,,,,,
103,pm25,23,103,,,,,,,,
50,pm10,50,45,,,,,,,,
85,pm25,66,85,,,,,,,,
132,pm25,89,132,,,,,,,,
133,pm25,94,133,,,,,,,,
71,pm25,51,71,,,,,,,,
91,pm25,62,91,,,,,,,,
47,pm25,32,47,,,,,,,,
111,pm25,81,111,,,,,,,,
64,pm25,46,64,,,,,,,,
127,pm25,90,127,,,,,,,,
91,pm25,58,91,,,,,,,,
157,pm25,145,157,,,,,,,,
108,pm25,68,108,,,,,,,,
1,pm25,1,1,,,,,,,,
50,pm25,38,50,,,,,,,,
159,pm25,59,154,,,,,,,,
50,pm10,50,45,,,,,,,,
25,pm25,20,25,,,,,,,,
96,pm25,58,96,,,,,,,,
111,pm25,62,113,,,,,,,,
112,pm10,112,100,,,,,,,,
106,pm25,62,106,,,,,,,,
1,pm25,1,1,,,,,,,,
115,pm25,74,115,,,,,,,,
51,pm25,7,51,,,,,,,,
50,pm10,50,45,,,,,,,,
39,pm25,35,39,,,,,,,,
110,pm25,61,110,,,,,,,,
98,pm25,63,98,,,,,,,,
123,pm25,79,123,,,,,,,,
69,pm25,44,69,,,,,,,,
91,pm25,60,91,,,,,,,,
139,pm25,98,139,,,,,,,,
167,pm25,151,167,,,,,,,,
122,pm25,74,122,,,,,,,,
1,pm25,1,1,,,,,,,,
94,pm25,73,94,,,,,,,,
146,pm25,43,146,,,,,,,,
50,pm10,50,45,,,,,,,,
27,pm25,25,27,,,,,,,,
60,pm25,43,60,,,,,,,,
46,pm25,44,46,,,,,,,,
71,pm25,57,71,,,,,,,,
91,pm25,62,91,,,,,,,,
76,pm25,70,76,,,,,,,,
58,pm25,37,58,,,,,,,,
98,pm25,71,98,,,,,,,,
44,pm25,38,44,,,,,,,,
94,pm25,71,94,,,,,,,,
88,pm25,61,88,,,,,,,,
190,pm25,169,190,,,,,,,,
44,pm25,37,44,,,,,,,,
1,pm25,1,1,,,,,,,,
114,pm25,63,114,,,,,,,,
170,pm25,83,170,,,,,,,,
50,pm10,50,45,,,,,,,,
62,pm25,46,62,,,,,,,,
130,pm25,73,130,,,,,,,,
131,pm25,94,131,,,,,,,,
109,pm25,64,109,,,,,,,,
123,pm25,77,123,,,,,,,,
127,pm25,91,127,,,,,,,,
35,pm25,22,35,,,,,,,,
132,pm25,94,132,,,,,,,,
92,pm25,59,92,,,,,,,,
128,pm25,93,128,,,,,,,,
120,pm25,73,120,,,,,,,,
110,pm10,110,83,,,,,,,,
42,pm25,34,42,,,,,,,,
114,pm25,63,114,,,,,,,,
161,pm25,76,161,,,,,,,,
50,pm10,50,45,,,,,,,,
49,pm10,49,43,,,,,,,,
51,pm25,39,51,,,,,,,,
101,pm25,75,101,,,,,,,,
71,pm25,53,71,,,,,,,,
86,pm25,56,86,,,,,,,,
50,pm25,33,50,,,,,,,,
99,pm25,75,99,,,,,,,,
69,pm25,49,69,,,,,,,,
102,pm25,76,102,,,,,,,,
128,pm10,128,114,,,,,,,,
49,pm25,37,49,,,,,,,,
1,pm25,1,1,,,,,,,,
114,pm25,63,114,,,,,,,,
92,pm25,45,92,,,,,,,,
50,pm10,50,45,,,,,,,,
40,pm25,31,40,,,,,,,,
84,pm25,55,84,,,,,,,,
154,pm25,85,154,,,,,,,,
104,pm25,81,104,,,,,,,,
41,pm25,22,41,,,,,,,,
147,pm25,96,147,,,,,,,,
88,pm25,57,88,,,,,,,,
164,pm25,111,164,,,,,,,,
130,pm25,75,130,,,,,,,,
37,pm25,27,37,,,,,,,,
49,pm25,37,49,,,,,,,,
1,pm25,1,1,,,,,,,,
50,pm25,46,50,,,,,,,,
285,pm10,285,255,,,,,,,,
50,pm10,50,45,,,,,,,,
83,pm10,83,79,,,,,,,,
26,pm10,26,22,,,,,,,,
52,pm25,50,52,,,,,,,,
31,pm25,27,31,,,,,,,,
41,pm25,35,41,,,,,,,,
1,pm25,1,1,,,,,,,,
30,pm25,19,30,,,,,,,,
15,pm25,14,15,,,,,,,,
12,pm25,10,12,,,,,,,,
60,pm25,53,60,,,,,,,,
48,pm25,37,48,,,,,,,,
169,pm10,169,106,,,,,,,,
60,pm25,43,60,,,,,,,,
1,pm25,1,1,,,,,,,,
31,pm10,31,28,,,,,,,,
252,pm10,252,243,,,,,,,,
50,pm10,50,45,,,,,,,,
51,pm10,51,43,,,,,,,,
18,pm25,16,18,,,,,,,,
62,pm25,59,62,,,,,,,,
22,pm25,16,22,,,,,,,,
36,pm25,31,36,,,,,,,,
1,pm25,1,1,,,,,,,,
46,pm25,29,46,,,,,,,,
40,pm25,38,40,,,,,,,,
26,pm25,16,26,,,,,,,,
61,pm25,59,61,,,,,,,,
45,pm25,35,45,,,,,,,,
129,pm10,129,115,,,,,,,,
116,pm25,64,116,,,,,,,,
1,pm25,1,1,,,,,,,,
83,pm25,54,83,,,,,,,,
50,pm10,50,45,,,,,,,,
128,pm25,72,128,,,,,,,,
75,pm25,58,75,,,,,,,,
122,pm25,86,122,,,,,,,,
64,pm25,49,64,,,,,,,,
124,pm25,74,124,,,,,,,,
1,pm25,1,1,,,,,,,,
32,pm25,20,32,,,,,,,,
121,pm25,83,121,,,,,,,,
65,pm25,52,65,,,,,,,,
128,pm25,84,128,,,,,,,,
117,pm25,81,117,,,,,,,,
74,pm10,74,41,,,,,,,,
28,pm25,23,28,,,,,,,,
1,pm25,1,1,,,,,,,,
43,pm25,42,43,,,,,,,,
157,pm25,115,157,,,,,,,,
50,pm10,50,45,,,,,,,,
56,pm10,56,54,,,,,,,,
28,pm25,26,28,,,,,,,,
48,pm25,47,48,,,,,,,,
22,pm25,17,22,,,,,,,,
38,pm25,32,38,,,,,,,,
1,pm25,1,1,,,,,,,,
51,pm25,33,51,,,,,,,,
46,pm25,45,46,,,,,,,,
18,pm25,13,18,,,,,,,,
37,pm25,37,37,,,,,,,,
49,pm25,37,49,,,,,,,,
102,pm10,102,86,,,,,,,,
30,pm25,24,30,,,,,,,,
1,pm25,1,1,,,,,,,,
140,pm10,140,76,,,,,,,,
50,pm10,50,45,,,,,,,,
20,pm25,18,20,,,,,,,,
19,pm10,19,18,,,,,,,,
59,pm25,53,59,,,,,,,,
16,pm25,11,16,,,,,,,,
28,pm25,21,28,,,,,,,,
